"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","115/1023","434/18860",0.264976958525346,4.885107954827,19.6095967636012,2.83294797155727e-48,1.49353017060499e-44,1.22234249846455e-44,"ACTL6A/ACTR2/ACTR3/ASPM/AURKA/AURKB/BIRC5/BRCA1/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CCNE2/CDC20/CDC6/CDCA2/CDCA8/CDK1/CDT1/CENPE/CENPF/CENPH/CENPI/CENPK/CENPM/CENPN/CENPO/CENPU/CENPW/CHMP1B/DIAPH3/DLGAP5/DMC1/DSN1/DUSP1/DYNC1LI1/ECT2/ESCO2/ESPL1/FAM83D/FANCD2/GPSM2/HASPIN/HAUS8/HECW2/HJURP/INCENP/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/MAD2L1/MAP3K20/MAPRE1/MIS18A/MKI67/MYBL2/MZT1/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC1/NDC80/NEK2/NEK7/NTMT1/NUF2/NUMA1/NUP37/NUSAP1/OIP5/PLK1/PRC1/PSMC3IP/PSRC1/PTTG1/RACGAP1/RAD21/RB1/SGO1/SGO2/SKA1/SKA2/SKA3/SMC1A/SMC4/SPAG5/SPC24/SPC25/SPDL1/STIL/TACC3/TOP1/TOP2A/TPX2/TRIP13/TTK/TUBB/TUBG1/UBE2C/UHRF1/XRCC3/ZWILCH/ZWINT",115
"GO:0098813","GO:0098813","nuclear chromosome segregation","92/1023","323/18860",0.284829721362229,5.25111294710815,18.4552707512282,1.77034383148055e-41,4.66662633978273e-38,3.81928387644146e-38,"ACTL6A/ACTR2/ACTR3/ASPM/AURKA/AURKB/BIRC5/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CCNE2/CDC20/CDC6/CDCA8/CDK1/CDT1/CENPE/CENPF/CENPI/CENPK/CHMP1B/DLGAP5/DMC1/DSN1/DUSP1/DYNC1LI1/ECT2/ESPL1/FAM83D/FANCD2/HASPIN/HECW2/INCENP/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/MAD2L1/MAP3K20/MAPRE1/MYBL2/MZT1/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC1/NDC80/NEK2/NUF2/NUMA1/NUSAP1/PLK1/PRC1/PSMC3IP/PSRC1/PTTG1/RACGAP1/RAD21/RB1/SGO1/SKA1/SKA2/SKA3/SMC1A/SMC4/SPAG5/SPC24/SPC25/SPDL1/TACC3/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/UHRF1/XRCC3/ZWILCH/ZWINT",92
"GO:0000280","GO:0000280","nuclear division","107/1023","453/18860",0.236203090507726,4.35463371160872,17.3076834207275,7.65294465837427e-40,1.34487747463164e-36,1.100681408936e-36,"ACTR2/ACTR3/ANLN/ASPM/AURKA/AURKB/BCL2L11/BIRC5/BORA/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CCNE2/CDC20/CDC25B/CDC25C/CDCA2/CDCA8/CDK1/CDT1/CENPE/CENPF/CENPI/CENPK/CHEK1/CHMP1B/CKS2/DLGAP5/DMC1/DUSP1/DYNC1LI1/EME1/EPGN/ESPL1/FANCA/FANCD2/HASPIN/INCENP/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/MAD2L1/MAPRE1/MKI67/MYBL1/MYBL2/MZT1/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC1/NDC80/NEK2/NUF2/NUMA1/NUSAP1/PDGFRB/PKMYT1/PLK1/PRC1/PSMC3IP/PSRC1/PTTG1/RACGAP1/RAD21/RAD51/RAD51AP1/RAD54L/RANBP1/RB1/RPS6KA2/SGO1/SKA1/SKA2/SKA3/SMC1A/SMC4/SPAG5/SPC24/SPC25/SPDL1/SPHK1/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/UBE2S/UHRF1/XRCC3/ZWILCH/ZWINT",107
"GO:0140014","GO:0140014","mitotic nuclear division","84/1023","281/18860",0.298932384341637,5.51110925579988,18.2457440813706,1.09409313689134e-39,1.44201475442279e-36,1.1801809916099e-36,"ANLN/AURKA/AURKB/BIRC5/BORA/BUB1/BUB1B/CCNB1/CDC20/CDC25C/CDCA2/CDCA8/CDK1/CDT1/CENPE/CENPF/CENPI/CENPK/CHEK1/CHMP1B/DLGAP5/DUSP1/DYNC1LI1/EPGN/ESPL1/HASPIN/INCENP/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF20B/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/MAD2L1/MAPRE1/MKI67/MYBL2/MZT1/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NEK2/NUF2/NUMA1/NUSAP1/PDGFRB/PKMYT1/PLK1/PRC1/PSRC1/RACGAP1/RAD21/RANBP1/RB1/SKA1/SKA2/SKA3/SMC1A/SMC4/SPAG5/SPC24/SPC25/SPDL1/SPHK1/TPX2/TRIP13/TTK/TUBG1/UBE2C/UBE2S/UHRF1/XRCC3/ZWILCH/ZWINT",84
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","70/1023","192/18860",0.364583333333333,6.72144835451287,19.082880965155,1.45248813183756e-39,1.53150348620953e-36,1.25342081103204e-36,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDCA8/CDK1/CDT1/CENPE/CENPF/CENPI/CENPK/CHMP1B/DLGAP5/DUSP1/DYNC1LI1/ESPL1/HASPIN/INCENP/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/MAD2L1/MAPRE1/MYBL2/MZT1/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NEK2/NUF2/NUMA1/NUSAP1/PLK1/PRC1/PSRC1/RACGAP1/RAD21/RB1/SKA1/SKA2/SKA3/SMC1A/SMC4/SPAG5/SPC24/SPC25/SPDL1/TPX2/TRIP13/TTK/TUBG1/UBE2C/UHRF1/XRCC3/ZWILCH/ZWINT",70
"GO:0000819","GO:0000819","sister chromatid segregation","76/1023","233/18860",0.32618025751073,6.01345029975793,18.4407872801678,6.07534991024999e-39,5.33820745447299e-36,4.36892268107275e-36,"ACTL6A/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDC6/CDCA8/CDK1/CDT1/CENPE/CENPF/CENPI/CENPK/CHMP1B/DLGAP5/DUSP1/DYNC1LI1/ESPL1/HASPIN/HECW2/INCENP/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KNL1/KNSTRN/MAD2L1/MAP3K20/MAPRE1/MYBL2/MZT1/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NEK2/NUF2/NUMA1/NUSAP1/PLK1/PRC1/PSRC1/RACGAP1/RAD21/RB1/SKA1/SKA2/SKA3/SMC1A/SMC4/SPAG5/SPC24/SPC25/SPDL1/TACC3/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/UHRF1/XRCC3/ZWILCH/ZWINT",76
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","98/1023","461/18860",0.212581344902386,3.91914385616716,15.1965530886149,1.85707556682267e-32,1.39864319832701e-29,1.14468462382047e-29,"ACTL6A/ADAM17/ADAMTS1/ANLN/ANXA1/AURKA/AURKB/BIRC5/BLM/BRCA1/BUB1/BUB1B/CACNB4/CCNA2/CCNB1/CCNB2/CCND1/CCND2/CCNE2/CCNF/CCNG2/CDC20/CDC25A/CDC25B/CDC25C/CDC6/CDC7/CDCA8/CDK1/CDK2/CDK7/CDKN2B/CDKN2C/CDKN3/CENPE/CENPF/CHEK1/CKS2/CLSPN/CPSF3/CTDSP2/CUL4B/DBF4/DDR2/DLGAP5/DTL/DUSP1/DYNC1LI1/E2F1/ESPL1/EZH2/FOXM1/FOXN3/GPNMB/GTPBP4/HASPIN/HECW2/ID4/INCENP/IQGAP3/KIF14/KLF11/KLF4/KNL1/MAD2L1/MAP3K20/MELK/MYB/NDC80/NUF2/ORC1/PKMYT1/PLK1/PLK2/RAD21/RB1/RBL1/RDX/RFWD3/RHOU/RRM1/RRM2/SKA1/SKA3/SPC24/SPC25/SPDL1/STIL/TACC3/TP53/TRIP13/TTK/UBE2C/UBE2S/XRCC3/ZFP36L1/ZWILCH/ZWINT",98
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","97/1023","468/18860",0.207264957264957,3.8211310791956,14.8002125941671,3.40816642650939e-31,2.24598167506969e-28,1.83816765556079e-28,"ACTL6A/ADAM17/ADAMTS1/ANLN/ANXA1/APBB2/AURKA/AURKB/BIRC5/BLM/BRCA1/BRIP1/BUB1/BUB1B/CACNB4/CCNB1/CCND1/CCND2/CCNE2/CDC20/CDC25A/CDC25B/CDC25C/CDC45/CDC6/CDC7/CDCA8/CDK1/CDK2/CDK7/CDKN2B/CDKN2C/CDT1/CENPE/CENPF/CHEK1/CLSPN/CPSF3/CTDSP2/CUL4B/DBF4/DDR2/DLGAP5/DTL/DUSP1/DYNC1LI1/E2F1/EME1/ESPL1/EZH2/FAM83D/FANCD2/FOXN3/GPNMB/GTPBP4/HASPIN/HECW2/INCENP/KIF14/KLF11/KLF4/KNL1/MAD2L1/MAP3K20/MN1/MSH2/NDC80/NEK10/NUF2/ORC1/PKMYT1/PLK1/RAD21/RAD51/RB1/RBL1/RDX/RFWD3/RRM1/RRM2/SKA1/SKA3/SPC24/SPC25/SPDL1/STIL/TIMELESS/TIPIN/TP53/TRIP13/TTK/UBE2C/WDR76/XRCC3/ZFP36L1/ZWILCH/ZWINT",97
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","82/1023","357/18860",0.2296918767507,4.23459315299922,14.7764101550387,9.87785612833508e-30,5.4503107434678e-27,4.46067082051643e-27,"ACTL6A/ADAM17/ADAMTS1/ANLN/ANXA1/AURKA/AURKB/BIRC5/BLM/BRCA1/BUB1/BUB1B/CACNB4/CCNB1/CCND1/CCND2/CCNE2/CDC20/CDC25A/CDC25B/CDC25C/CDC6/CDC7/CDCA8/CDK1/CDK2/CDK7/CDKN2B/CDKN2C/CENPE/CENPF/CHEK1/CLSPN/CPSF3/CTDSP2/CUL4B/DDR2/DLGAP5/DTL/DUSP1/DYNC1LI1/E2F1/ESPL1/EZH2/FOXN3/GPNMB/GTPBP4/HASPIN/HECW2/INCENP/KIF14/KLF11/KLF4/KNL1/MAD2L1/MAP3K20/NDC80/NUF2/ORC1/PKMYT1/PLK1/RAD21/RB1/RBL1/RDX/RFWD3/RRM1/RRM2/SKA1/SKA3/SPC24/SPC25/SPDL1/STIL/TP53/TRIP13/TTK/UBE2C/XRCC3/ZFP36L1/ZWILCH/ZWINT",82
"GO:0090068","GO:0090068","positive regulation of cell cycle process","72/1023","278/18860",0.258992805755396,4.77478427814933,15.1846416975532,1.0338222199294e-29,5.4503107434678e-27,4.46067082051643e-27,"ADAM17/ADAMTS1/ANXA1/AURKA/AURKB/BIRC5/BUB1/CCNB1/CCND1/CCND2/CCNE2/CDC20/CDC25A/CDC25B/CDC25C/CDC6/CDC7/CDCA8/CDK1/CHEK1/CIT/CPSF3/CUL4B/DBF4/DDR2/DLGAP5/DTL/DYNC1LI1/E2F8/ECT2/EPGN/ESPL1/EZH2/FAM83D/FEN1/GPSM2/INCENP/KIF14/KIF20B/KIF23/KNL1/MAD2L1/MAP3K20/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NUMA1/NUSAP1/PDGFRB/PLK4/POC1A/RACGAP1/RAD21/RAD51AP1/RANBP1/RB1/RDX/RRM1/RRM2/SFPQ/SKA1/SKA3/SMC4/SPAG5/SPHK1/STIL/SVIL/UBE2C/XRCC3",72
"GO:1905818","GO:1905818","regulation of chromosome separation","39/1023","76/18860",0.513157894736842,9.46056490199105,17.6989848965183,2.10673891438515e-29,1.00970250514896e-26,8.26365819144952e-27,"AURKB/BIRC5/BUB1/BUB1B/CCNB1/CDC20/CDCA8/CENPF/DLGAP5/DUSP1/DYNC1LI1/ESPL1/HASPIN/INCENP/KNL1/MAD2L1/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NUF2/NUMA1/PLK1/RAD21/RB1/SKA1/SKA3/SMC4/SPC24/SPC25/SPDL1/TRIP13/TTK/UBE2C/XRCC3/ZWILCH/ZWINT",39
"GO:0033044","GO:0033044","regulation of chromosome organization","67/1023","244/18860",0.274590163934426,5.06233674663077,15.2955074645392,2.32514598622448e-29,1.02151413661462e-26,8.36032754169661e-27,"ACTL6A/AURKB/BIRC5/BUB1/BUB1B/CCNB1/CCT2/CCT4/CCT5/CCT6A/CCT8/CDC20/CDC6/CDCA8/CDK1/CDK2/CENPE/CENPF/DKC1/DLGAP5/DUSP1/DYNC1LI1/ESPL1/FEN1/HASPIN/HECW2/HNRNPA2B1/HSP90AA1/INCENP/KLF4/KNL1/MAD2L1/MAP3K20/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NEK2/NEK7/NUF2/NUMA1/PLK1/PML/PTGES3/RAD21/RB1/SFPQ/SKA1/SKA3/SMC4/SMG6/SPC24/SPC25/SPDL1/TACC3/TCP1/TP53/TRIP13/TTK/UBE2C/UCHL5/XRCC3/XRCC5/ZWILCH/ZWINT",67
