"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","55/583","158/9370",0.348101265822785,5.59469787437306,15.0026895316504,1.53948077891932e-27,5.11107618601214e-25,4.32675124180482e-25,"25/9212/699/701/890/891/9133/595/894/9134/991/993/994/995/8318/990/8317/113130/983/1017/1022/1030/1031/81620/1111/10926/1869/157570/9700/3066/57082/4085/4171/4172/4173/4174/4175/4176/10403/4998/5111/9088/5347/9232/5885/5925/5933/151648/8243/7029/7157/9319/7272/7533/7534",55
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","18/583","36/9370",0.5,8.03602058319039,10.8944431518382,4.78732567746836e-13,7.94696062459747e-11,6.72745239938975e-11,"2237/3978/4171/4172/4173/4174/4175/4176/5111/5422/23649/5427/5557/5558/5982/5983/5984/10535",18
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","39/583","233/9370",0.167381974248927,2.69016998063884,6.72925700975734,1.06456162307112e-08,1.17811486286537e-06,9.97326152140311e-07,"70/375790/287/633/1301/1277/1278/255631/1281/1290/50509/1291/1292/1293/1465/81624/1837/2006/2192/2200/2335/8515/22801/3675/8516/3685/3690/3691/3696/3908/4001/84823/84665/4811/22795/10611/6444/161176/7170",39
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","21/583","89/9370",0.235955056179775,3.79227937633704,6.81737320444502,7.87296334085815e-08,6.53455957291226e-06,5.53179266318191e-06,"375790/1277/1278/1291/1292/1293/2335/3161/8515/22801/3675/8516/3685/3690/3691/3696/3908/3910/3912/3915/3371",21
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","28/583","154/9370",0.181818181818182,2.92218930297833,6.19506499495701,2.27159610901541e-07,1.50833981638623e-05,1.27687612864656e-05,"718/595/894/1277/1278/1291/1292/1293/2200/2335/3383/8515/22801/3675/8516/3685/3690/3691/3696/3791/3908/3910/3912/3915/4233/5156/5159/3371",28
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","19/583","93/9370",0.204301075268817,3.28353529205629,5.70040887613608,3.39973467782091e-06,0.000182002453186137,0.000154073097655988,"595/9134/1017/1030/1163/1164/54205/1869/2335/3675/3685/3908/3910/3912/3915/4792/5925/7157/7187",19
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","26/583","157/9370",0.165605095541401,2.66161191290382,5.40803472419644,3.83740112139446e-06,0.000182002453186137,0.000154073097655988,"890/891/9133/595/894/9134/993/983/1017/1030/1111/3576/1869/2305/2309/3486/3569/286826/4605/4776/4893/5925/5933/8878/7157/677",26
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","45/583","362/9370",0.124309392265193,1.99790566985397,4.98758339462881,5.70861405887839e-06,0.000236907483443453,0.000200552625489543,"10018/627/672/595/894/9134/1017/1277/1278/1291/1292/1293/90993/1435/2263/2335/2309/2791/3320/7184/3569/3575/8515/22801/3675/8516/3685/3690/3691/3696/3791/3908/3910/3912/3915/4233/4602/4893/5156/5159/6446/3371/7157/7533/7534",45
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","16/583","75/9370",0.213333333333333,3.42870211549457,5.43927190495184,1.12526788165619e-05,0.000415098818566505,0.000351399443745266,"891/9133/595/894/9134/901/3732/983/1017/1111/54205/51512/3486/6241/83667/7157",16
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","29/583","224/9370",0.129464285714286,2.08075532957608,4.21692988612031,0.000130966311689669,0.00425763788248057,0.00360427810596802,"701/890/9133/595/894/9134/991/1017/1030/1031/1111/90993/23373/1869/1958/9700/3383/3569/4085/4776/4791/4792/4801/4893/9232/5902/5925/5971/7157",29
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","27/583","203/9370",0.133004926108374,2.13766064774523,4.22092584950306,0.000141066315383392,0.00425763788248057,0.00360427810596802,"595/894/1277/1278/1291/1292/1293/2335/8515/22801/3675/8516/3685/3690/3691/3696/3791/3908/3910/3912/3915/4233/10627/5156/5159/399694/3371",27
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","26/583","194/9370",0.134020618556701,2.15398489858712,4.18345278373923,0.000164730413114504,0.00455754142950129,0.00385815967557655,"70/1062/51143/3832/9928/56992/81930/146909/10112/9585/3835/9493/11004/24137/3833/10627/4642/7170/10376/84790/203068/7280/10381/10383/84617/7283",26
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","38/583","333/9370",0.114114114114114,1.83404673970712,3.99172807267911,0.000194328803139901,0.00496285866480362,0.00420127857800433,"890/595/894/9134/1017/1277/1278/1291/1292/1293/90993/1869/2335/8322/3066/3659/8515/22801/3675/8516/3685/3690/3691/3696/3908/3910/3912/3915/55534/4893/5159/5925/5933/7098/3371/7157/7187/7283",38
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","17/583","106/9370",0.160377358490566,2.57759150781579,4.20735156346864,0.000268971118982923,0.00637845796445218,0.0053996457720632,"595/9134/1017/90993/1869/2078/2263/3320/7184/4792/4893/5156/5159/5327/5328/5925/7157",17
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","20/583","138/9370",0.144927536231884,2.32928132846098,4.05199717117849,0.000326834077163556,0.00723392757455337,0.00612383849843295,"6790/699/891/9133/9134/991/995/983/1017/9700/4085/9088/5347/9232/6196/27330/151648/8243/7533/7534",20
"hsa03430","Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","7/583","23/9370",0.304347826086957,4.89149078976807,4.81287283795309,0.000355027787225785,0.00736682658493504,0.0062363433677161,"9156/3978/4436/5111/5982/5983/5984",7
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","18/583","119/9370",0.151260504201681,2.43106505037693,4.04668220240092,0.000377860400928252,0.00736869469150563,0.00623792480225746,"6868/8837/90993/1435/2919/2920/2921/6374/6372/1540/3383/3569/3659/1326/4323/4792/7128/7187",18
"hsa03460","Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","11/583","54/9370",0.203703703703704,3.27393431167016,4.31638960999757,0.000404989448562135,0.00736869469150563,0.00623792480225746,"641/672/83990/146956/2175/2187/2177/2189/55215/5888/29089",11
"hsa04914","Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","17/583","110/9370",0.154545454545455,2.48386090753158,4.03222377811289,0.000421702407043997,0.00736869469150563,0.00623792480225746,"6790/699/890/891/9133/993/994/995/983/1017/3320/3835/4085/9088/5347/6196/27330",17
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","11/583","56/9370",0.196428571428571,3.15700808625337,4.17002111039137,0.000562531531045092,0.00933802341534853,0.00790504835731787,"718/2919/2920/2921/3576/54205/3312/3329/3569/4791/4792",11
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","16/583","105/9370",0.152380952380952,2.44907293963898,3.84611944685412,0.00072366729353791,0.0114408353073612,0.00968517129697353,"8837/2919/6387/2920/2921/3576/1540/60401/3383/4791/4792/5328/5971/7128/8740/7187",16
"hsa00100","Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","6/583","20/9370",0.3,4.82161234991424,4.40672965151444,0.00103273973926748,0.0155849815198546,0.0131933737026036,"1595/1717/4047/6307/6309/6713",6
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","15/583","99/9370",0.151515151515152,2.43515775248194,3.69755405517023,0.00111513378076026,0.0160967137048872,0.0136265775497935,"70/785/1837/3569/8515/22801/3675/8516/3685/3690/3691/3696/3908/6444/7170",15
"hsa03410","Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","9/583","44/9370",0.204545454545455,3.28746296585062,3.91735822696441,0.00130681564660701,0.0180776164447303,0.0153034990194769,"2237/3146/3978/55247/5111/5427/5982/5983/5984",9
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","18/583","133/9370",0.135338345864662,2.17516346612672,3.51575994423186,0.00144167698446001,0.0191454703536289,0.0162074844147715,"10018/891/9133/595/894/901/1017/1030/114907/2309/3569/3575/4893/5347/10769/10733/6446/6648",18
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","15/583","103/9370",0.145631067961165,2.34058851937584,3.52375017403035,0.0016801990403246,0.0214548492841448,0.0181624754561404,"1301/7373/1307/1277/1278/255631/1281/1290/50509/1291/1292/1293/1294/1803/2006",15
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","14/583","94/9370",0.148936170212766,2.39370825882267,3.49796946505878,0.0019083541843183,0.0234656884886546,0.0198647394624946,"2919/2920/2921/6374/6372/3576/3320/7184/84818/3569/4792/6426/7128/7187",14
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","24/583","205/9370",0.117073170731707,1.88160481947873,3.28734462482927,0.00202146658816654,0.0239688181168318,0.020290660866183,"10018/890/595/894/9134/1017/54205/1869/3066/3383/3569/4791/4792/5701/5706/5718/10213/9861/5925/5971/6892/7128/7157/7187",24
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","22/583","184/9370",0.119565217391304,1.92165709598031,3.25218802054066,0.00234587773942213,0.0268562554995913,0.0227350038630021,"25/3983/6387/1808/1948/1949/55740/2043/2051/4233/10627/4776/4893/22854/84628/91584/5727/56963/10512/6586/85464/219699",22
"hsa03440","Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","8/583","41/9370",0.195121951219512,3.13600803246454,3.53051326025921,0.00328643707379469,0.0363699036166613,0.0307887262702871,"641/672/83990/146956/5888/8438/7516/7517",8
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","18/583","144/9370",0.125,2.0090051457976,3.14288496696492,0.00351134300950129,0.0376053509404654,0.0318345868773122,"125/224/718/595/2919/2920/2921/3576/2194/2309/84818/3569/23175/4792/10891/6319/6434/7187",18
